element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,position,name,team
237,263,3,2,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,90,0,0,0,1,0,0,0,0,0,0,0,7,0.0,6.7,1.0,0.7,1,3,0,4,1,0.09,0.03,0.12,0.85,69,-100603,2893400,128103,228706,237,MID,Enzo Fernández,Chelsea
547,268,10,10,True,2026-02-22T14:00:00Z,1.0,3.0,27,False,90,1,0,0,3,0,0,0,0,0,0,1,29,41.8,18.9,21.0,8.2,2,9,1,12,1,0.79,0.06,0.85,1.88,49,-1113,157668,10040,11153,547,MID,Enzo Le Fée,Sunderland
523,267,12,0,True,2026-02-22T14:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,56,7118,130,74,523,MID,Eric da Silva Moreira,Nott'm Forest
430,266,15,6,True,2026-02-21T20:00:00Z,2.0,1.0,27,False,90,0,1,0,1,0,0,0,0,0,0,1,22,27.2,18.1,36.0,8.1,3,0,1,4,1,0.31,0.22,0.53,0.62,148,-209144,8672580,34443,243587,430,FWD,Erling Haaland,Man City
238,263,3,0,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-9473,305298,13041,22514,238,MID,Estêvão Almeida de Oliveira Gonçalves,Chelsea
354,261,2,8,False,2026-02-21T15:00:00Z,1.0,1.0,27,False,90,0,1,0,1,0,0,0,0,0,0,1,24,22.0,16.4,0.0,3.8,7,9,5,21,1,0.0,0.01,0.01,1.46,49,-203,20580,1301,1504,354,MID,Ethan Ampadu,Leeds
25,269,18,0,False,2026-02-22T16:30:00Z,1.0,4.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-202,15164,0,202,25,MID,Ethan Nwaneri,Arsenal
111,262,6,0,True,2026-02-21T15:00:00Z,0.0,2.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,39,14557,319,280,111,DEF,Ethan Pinnock,Brentford
778,264,8,0,False,2026-02-22T14:00:00Z,1.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5,906,66,71,778,MID,Ethan Sutherland,Wolves
468,265,9,0,False,2026-02-23T20:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-122,10954,0,122,468,FWD,Ethan Wheatley,Man Utd
184,263,7,0,False,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-180,21170,0,180,184,GKP,Etienne Green,Burnley
677,264,20,6,True,2026-02-22T14:00:00Z,1.0,0.0,27,False,18,1,0,0,0,0,0,0,0,0,0,0,26,34.6,1.2,19.0,5.5,1,2,0,3,0,0.25,0.18,0.43,0.12,62,300,5802,512,212,677,MID,Evann Guessand,Crystal Palace
179,262,5,0,False,2026-02-21T15:00:00Z,0.0,2.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1,968,0,1,179,FWD,Evan Ferguson,Brighton
747,270,4,0,True,2026-02-21T17:30:00Z,0.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-29,3974,85,114,747,DEF,Ezra Mayers,West Ham
38,261,11,7,True,2026-02-21T15:00:00Z,1.0,1.0,27,False,90,0,1,0,1,0,0,0,0,0,0,0,23,28.8,1.5,10.0,4.0,8,4,2,10,1,0.13,0.01,0.14,1.35,44,55673,1038871,66698,11025,38,DEF,Ezri Konsa Ngoyo,Aston Villa
474,266,13,0,False,2026-02-21T20:00:00Z,2.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-4184,156330,62,4246,474,DEF,Fabian Schär,Newcastle
168,261,2,0,False,2026-02-21T15:00:00Z,1.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-33,12451,483,516,168,MID,Facundo Buonanotte,Leeds
385,267,16,1,False,2026-02-22T14:00:00Z,0.0,1.0,27,False,13,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.2,0.0,0.1,1,0,0,1,0,0.0,0.0,0.0,0.29,63,-127,36012,304,431,385,MID,Federico Chiesa,Liverpool
511,267,12,0,True,2026-02-22T14:00:00Z,0.0,1.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-9,10876,249,258,511,DEF,Felipe Rodrigues da Silva,Nott'm Forest
148,262,5,8,False,2026-02-21T15:00:00Z,0.0,2.0,27,False,90,0,1,1,0,0,0,0,1,0,0,0,27,8.6,12.9,7.0,2.9,5,7,1,6,1,0.02,0.03,0.05,1.6,44,-169,43103,2103,2272,148,DEF,Ferdi Kadıoğlu,Brighton
645,264,8,0,False,2026-02-22T14:00:00Z,1.0,0.0,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-45,3545,0,45,645,MID,Fer López González,Wolves
